index,OGDomain,IPAddr,City,State,Country
56,docs.google.com,142.250.64.78,New York City, New York,US
57,docs.google.com,142.250.65.206,New York City, New York,US
58,docs.google.com,142.250.81.227,New York City, New York,US
59,docs.google.com,142.251.40.238,New York City, New York,US
60,docs.google.com,142.250.81.227,New York City, New York,US
61,docs.google.com,142.251.32.99,New York City, New York,US
62,docs.google.com,142.251.32.106,New York City, New York,US
63,docs.google.com,142.250.81.227,New York City, New York,US
64,docs.google.com,142.250.81.227,New York City, New York,US
65,docs.google.com,142.250.72.110,New York City, New York,US
66,docs.google.com,142.250.81.227,New York City, New York,US
67,docs.google.com,142.250.80.67,New York City, New York,US
68,docs.google.com,142.250.80.67,New York City, New York,US
69,docs.google.com,142.250.72.110,New York City, New York,US
70,docs.google.com,142.250.81.227,New York City, New York,US
71,docs.google.com,142.250.81.227,New York City, New York,US
72,docs.google.com,142.250.72.110,New York City, New York,US
73,docs.google.com,142.250.65.206,New York City, New York,US
74,docs.google.com,142.250.81.227,New York City, New York,US
75,docs.google.com,142.251.40.238,New York City, New York,US
76,docs.google.com,142.251.40.238,New York City, New York,US
77,docs.google.com,142.250.72.110,New York City, New York,US
78,docs.google.com,142.250.81.227,New York City, New York,US
79,docs.google.com,142.250.81.227,New York City, New York,US
80,docs.google.com,142.250.81.227,New York City, New York,US
81,docs.google.com,142.250.72.110,New York City, New York,US
82,docs.google.com,142.250.72.110,New York City, New York,US
83,docs.google.com,142.250.81.227,New York City, New York,US
84,docs.google.com,142.250.81.227,New York City, New York,US
85,docs.google.com,142.250.80.67,New York City, New York,US
86,docs.google.com,142.250.81.227,New York City, New York,US
87,docs.google.com,142.251.32.99,New York City, New York,US
88,docs.google.com,142.250.81.234,New York City, New York,US
89,docs.google.com,142.250.72.110,New York City, New York,US
90,docs.google.com,142.250.81.227,New York City, New York,US
91,docs.google.com,142.250.81.227,New York City, New York,US
92,docs.google.com,142.250.72.110,New York City, New York,US
93,docs.google.com,142.250.80.67,New York City, New York,US
94,docs.google.com,142.250.81.227,New York City, New York,US
95,docs.google.com,142.250.81.227,New York City, New York,US
96,docs.google.com,142.250.72.110,New York City, New York,US
97,docs.google.com,142.250.81.227,New York City, New York,US
98,docs.google.com,142.250.81.227,New York City, New York,US
99,docs.google.com,142.250.80.78,New York City, New York,US
100,docs.google.com,142.250.81.227,New York City, New York,US
101,docs.google.com,142.250.65.206,New York City, New York,US
102,docs.google.com,142.250.65.206,New York City, New York,US
103,docs.google.com,142.250.72.110,New York City, New York,US
104,docs.google.com,142.250.81.227,New York City, New York,US
105,docs.google.com,142.250.81.227,New York City, New York,US
106,docs.google.com,142.250.81.227,New York City, New York,US
107,docs.google.com,142.250.81.227,New York City, New York,US
108,docs.google.com,142.250.64.78,New York City, New York,US
109,docs.google.com,142.250.81.227,New York City, New York,US
110,docs.google.com,142.250.81.227,New York City, New York,US
111,docs.google.com,142.250.81.227,New York City, New York,US
112,docs.google.com,142.250.81.227,New York City, New York,US
113,docs.google.com,142.250.81.227,New York City, New York,US
114,docs.google.com,142.251.40.238,New York City, New York,US
115,docs.google.com,142.250.81.227,New York City, New York,US
116,docs.google.com,142.250.81.227,New York City, New York,US
117,docs.google.com,142.250.65.206,New York City, New York,US
118,docs.google.com,142.250.81.227,New York City, New York,US
119,docs.google.com,142.250.80.67,New York City, New York,US
120,docs.google.com,142.250.81.227,New York City, New York,US
121,docs.google.com,142.250.81.227,New York City, New York,US
122,docs.google.com,142.250.81.227,New York City, New York,US
123,docs.google.com,142.250.81.227,New York City, New York,US
124,docs.google.com,142.250.72.110,New York City, New York,US
125,docs.google.com,142.251.32.99,New York City, New York,US
126,docs.google.com,142.251.40.106,New York City, New York,US
127,docs.google.com,142.250.65.206,New York City, New York,US
128,docs.google.com,142.250.81.227,New York City, New York,US
129,docs.google.com,142.250.72.110,New York City, New York,US
130,docs.google.com,142.251.40.238,New York City, New York,US
131,docs.google.com,142.250.81.227,New York City, New York,US
132,docs.google.com,142.250.81.227,New York City, New York,US
133,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
134,dineoncampus.com,157.240.241.1,Secaucus, New Jersey,US
135,dineoncampus.com,172.67.69.131,San Francisco, California,US
136,dineoncampus.com,104.26.9.15,San Francisco, California,US
137,dineoncampus.com,104.26.8.15,San Francisco, California,US
138,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
139,dineoncampus.com,142.250.176.202,New York City, New York,US
140,dineoncampus.com,172.67.69.131,San Francisco, California,US
141,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
142,dineoncampus.com,157.240.241.1,Secaucus, New Jersey,US
143,dineoncampus.com,172.67.69.131,San Francisco, California,US
144,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
145,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
146,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
147,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
148,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
149,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
150,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
151,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
152,dineoncampus.com,31.13.71.36,Secaucus, New Jersey,US
153,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
154,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
155,dineoncampus.com,172.67.69.131,San Francisco, California,US
156,dineoncampus.com,31.13.71.36,Secaucus, New Jersey,US
157,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
158,dineoncampus.com,104.26.8.15,San Francisco, California,US
159,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
160,dineoncampus.com,172.67.69.131,San Francisco, California,US
161,dineoncampus.com,104.26.9.15,San Francisco, California,US
162,dineoncampus.com,157.240.241.1,Secaucus, New Jersey,US
163,dineoncampus.com,142.250.176.202,New York City, New York,US
164,dineoncampus.com,35.186.247.156,Kansas City, Missouri,US
165,dineoncampus.com,104.26.9.15,San Francisco, California,US
166,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
167,dineoncampus.com,157.240.241.1,Secaucus, New Jersey,US
168,dineoncampus.com,142.251.32.99,New York City, New York,US
169,dineoncampus.com,35.186.247.156,Kansas City, Missouri,US
170,dineoncampus.com,104.26.8.15,San Francisco, California,US
171,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
172,dineoncampus.com,104.26.9.15,San Francisco, California,US
173,dineoncampus.com,104.26.8.15,San Francisco, California,US
174,dineoncampus.com,104.26.8.15,San Francisco, California,US
175,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
176,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
177,dineoncampus.com,172.67.69.131,San Francisco, California,US
178,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
179,dineoncampus.com,104.26.8.15,San Francisco, California,US
180,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
181,dineoncampus.com,157.240.241.1,Secaucus, New Jersey,US
182,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
183,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
184,dineoncampus.com,104.26.8.15,San Francisco, California,US
185,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
186,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
187,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
188,dineoncampus.com,157.240.241.1,Secaucus, New Jersey,US
189,dineoncampus.com,157.240.241.1,Secaucus, New Jersey,US
190,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
191,dineoncampus.com,104.26.9.15,San Francisco, California,US
192,dineoncampus.com,104.26.8.15,San Francisco, California,US
193,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
194,dineoncampus.com,104.26.8.15,San Francisco, California,US
195,dineoncampus.com,104.18.208.173,San Francisco, California,US
196,dineoncampus.com,142.251.40.200,New York City, New York,US
197,dineoncampus.com,157.240.241.1,Secaucus, New Jersey,US
198,dineoncampus.com,142.250.80.36,New York City, New York,US
199,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
200,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
201,dineoncampus.com,104.26.8.15,San Francisco, California,US
202,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
203,dineoncampus.com,104.26.9.15,San Francisco, California,US
204,dineoncampus.com,172.67.69.131,San Francisco, California,US
205,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
206,dineoncampus.com,142.250.80.78,New York City, New York,US
207,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
208,dineoncampus.com,157.240.241.1,Secaucus, New Jersey,US
209,dineoncampus.com,142.250.176.202,New York City, New York,US
210,dineoncampus.com,104.26.9.15,San Francisco, California,US
211,dineoncampus.com,157.240.241.1,Secaucus, New Jersey,US
212,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
213,dineoncampus.com,104.26.9.15,San Francisco, California,US
214,dineoncampus.com,172.67.69.131,San Francisco, California,US
215,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
216,dineoncampus.com,172.67.69.131,San Francisco, California,US
217,dineoncampus.com,157.240.241.1,Secaucus, New Jersey,US
218,dineoncampus.com,104.26.8.15,San Francisco, California,US
219,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
220,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
221,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
222,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
223,dineoncampus.com,31.13.71.36,Secaucus, New Jersey,US
224,dineoncampus.com,31.13.71.7,Secaucus, New Jersey,US
225,dineoncampus.com,157.240.241.1,Secaucus, New Jersey,US
226,open.spotify.com,199.232.38.248,New York City, New York,US
227,open.spotify.com,199.232.38.251,New York City, New York,US
228,open.spotify.com,199.232.38.251,New York City, New York,US
229,open.spotify.com,199.232.38.248,New York City, New York,US
230,open.spotify.com,199.232.38.248,New York City, New York,US
231,open.spotify.com,23.44.131.136,Piscataway, New Jersey,US
232,open.spotify.com,199.232.38.251,New York City, New York,US
233,open.spotify.com,199.232.38.251,New York City, New York,US
234,open.spotify.com,199.232.38.251,New York City, New York,US
235,open.spotify.com,199.232.38.251,New York City, New York,US
236,open.spotify.com,199.232.38.248,New York City, New York,US
237,open.spotify.com,35.186.224.25,Kansas City, Missouri,US
238,open.spotify.com,35.186.224.25,Kansas City, Missouri,US
239,open.spotify.com,35.186.224.25,Kansas City, Missouri,US
240,open.spotify.com,142.251.32.99,New York City, New York,US
241,open.spotify.com,199.232.38.248,New York City, New York,US
242,open.spotify.com,199.232.38.248,New York City, New York,US
243,open.spotify.com,199.232.38.251,New York City, New York,US
244,open.spotify.com,35.186.224.25,Kansas City, Missouri,US
245,open.spotify.com,142.251.32.99,New York City, New York,US
246,open.spotify.com,199.232.38.251,New York City, New York,US
247,open.spotify.com,199.232.38.248,New York City, New York,US
248,open.spotify.com,199.232.38.248,New York City, New York,US
249,open.spotify.com,35.186.224.25,Kansas City, Missouri,US
250,open.spotify.com,35.186.224.25,Kansas City, Missouri,US
251,open.spotify.com,199.232.38.250,New York City, New York,US
252,open.spotify.com,23.44.131.136,Piscataway, New Jersey,US
253,open.spotify.com,199.232.38.251,New York City, New York,US
254,open.spotify.com,199.232.38.248,New York City, New York,US
255,open.spotify.com,199.232.38.248,New York City, New York,US
256,open.spotify.com,23.44.131.136,Piscataway, New Jersey,US
257,open.spotify.com,199.232.38.251,New York City, New York,US
258,open.spotify.com,142.251.32.99,New York City, New York,US
259,open.spotify.com,35.186.224.25,Kansas City, Missouri,US
260,open.spotify.com,199.232.38.248,New York City, New York,US
261,open.spotify.com,199.232.38.248,New York City, New York,US
262,open.spotify.com,23.44.131.136,Piscataway, New Jersey,US
263,open.spotify.com,199.232.38.251,New York City, New York,US
264,open.spotify.com,35.186.224.25,Kansas City, Missouri,US
265,open.spotify.com,104.19.178.52,San Francisco, California,US
266,open.spotify.com,199.232.38.251,New York City, New York,US
267,open.spotify.com,35.186.224.25,Kansas City, Missouri,US
268,open.spotify.com,199.232.38.248,New York City, New York,US
269,open.spotify.com,199.232.38.248,New York City, New York,US
270,open.spotify.com,199.232.38.248,New York City, New York,US
271,open.spotify.com,199.232.38.251,New York City, New York,US
272,open.spotify.com,199.232.38.248,New York City, New York,US
273,open.spotify.com,199.232.38.248,New York City, New York,US
274,open.spotify.com,35.186.224.25,Kansas City, Missouri,US
275,open.spotify.com,199.232.38.251,New York City, New York,US
276,open.spotify.com,199.232.38.248,New York City, New York,US
277,open.spotify.com,199.232.38.248,New York City, New York,US
278,open.spotify.com,199.232.38.251,New York City, New York,US
279,open.spotify.com,199.232.38.251,New York City, New York,US
280,open.spotify.com,199.232.38.248,New York City, New York,US
281,open.spotify.com,35.186.224.25,Kansas City, Missouri,US
282,open.spotify.com,199.232.38.248,New York City, New York,US
283,open.spotify.com,199.232.38.248,New York City, New York,US
284,open.spotify.com,199.232.38.251,New York City, New York,US
285,open.spotify.com,199.232.38.251,New York City, New York,US
286,open.spotify.com,142.251.32.99,New York City, New York,US
287,open.spotify.com,199.232.38.248,New York City, New York,US
288,open.spotify.com,35.186.224.25,Kansas City, Missouri,US
289,open.spotify.com,142.250.80.46,New York City, New York,US
290,open.spotify.com,199.232.38.248,New York City, New York,US
291,open.spotify.com,199.232.38.248,New York City, New York,US
292,open.spotify.com,142.251.40.200,New York City, New York,US
293,open.spotify.com,35.186.224.25,Kansas City, Missouri,US
294,open.spotify.com,142.251.32.99,New York City, New York,US
295,open.spotify.com,199.232.38.251,New York City, New York,US
296,open.spotify.com,35.186.224.25,Kansas City, Missouri,US
297,open.spotify.com,199.232.38.248,New York City, New York,US
298,open.spotify.com,35.186.224.25,Kansas City, Missouri,US
299,open.spotify.com,199.232.38.251,New York City, New York,US
300,open.spotify.com,35.186.224.25,Kansas City, Missouri,US
301,open.spotify.com,104.19.177.52,San Francisco, California,US
302,open.spotify.com,199.232.38.248,New York City, New York,US
303,open.spotify.com,199.232.38.251,New York City, New York,US
304,open.spotify.com,199.232.38.248,New York City, New York,US
305,open.spotify.com,142.250.80.78,New York City, New York,US
306,open.spotify.com,104.19.177.52,San Francisco, California,US
307,open.spotify.com,34.120.195.249,Kansas City, Missouri,US
308,open.spotify.com,142.251.32.99,New York City, New York,US
309,open.spotify.com,199.232.38.251,New York City, New York,US
310,open.spotify.com,35.186.224.25,Kansas City, Missouri,US
311,open.spotify.com,199.232.38.248,New York City, New York,US
312,open.spotify.com,172.64.155.119,San Francisco, California,US
313,open.spotify.com,142.250.80.78,New York City, New York,US
314,open.spotify.com,199.232.38.248,New York City, New York,US
315,open.spotify.com,199.232.38.251,New York City, New York,US
316,open.spotify.com,199.232.38.251,New York City, New York,US
317,open.spotify.com,35.186.224.25,Kansas City, Missouri,US
318,open.spotify.com,199.232.38.248,New York City, New York,US
319,open.spotify.com,142.250.80.78,New York City, New York,US
320,open.spotify.com,199.232.38.248,New York City, New York,US
321,open.spotify.com,199.232.38.250,New York City, New York,US
322,open.spotify.com,35.186.224.25,Kansas City, Missouri,US
323,open.spotify.com,35.186.224.25,Kansas City, Missouri,US
324,open.spotify.com,199.232.38.248,New York City, New York,US
325,open.spotify.com,199.232.38.248,New York City, New York,US
326,open.spotify.com,35.186.224.25,Kansas City, Missouri,US
327,open.spotify.com,142.251.32.99,New York City, New York,US
328,open.spotify.com,199.232.38.248,New York City, New York,US
329,open.spotify.com,142.250.80.78,New York City, New York,US
330,open.spotify.com,199.232.38.248,New York City, New York,US
331,open.spotify.com,199.232.38.251,New York City, New York,US
332,open.spotify.com,35.186.224.25,Kansas City, Missouri,US
333,amazon.com,23.44.133.153,Piscataway, New Jersey,US
334,amazon.com,108.139.35.180,New York City, New York,US
335,amazon.com,18.164.132.134,New York City, New York,US
336,amazon.com,18.238.45.222,South Ozone Park, New York,US
337,amazon.com,199.232.37.16,New York City, New York,US
338,amazon.com,54.227.18.210,Ashburn, Virginia,US
339,amazon.com,199.232.37.16,New York City, New York,US
340,amazon.com,23.44.133.153,Piscataway, New Jersey,US
341,amazon.com,54.239.28.85,Ashburn, Virginia,US
342,amazon.com,18.238.45.222,South Ozone Park, New York,US
343,amazon.com,199.232.37.16,New York City, New York,US
344,amazon.com,108.138.120.237,New York City, New York,US
345,amazon.com,18.238.45.222,South Ozone Park, New York,US
346,amazon.com,108.139.54.203,New York City, New York,US
347,amazon.com,108.139.35.180,New York City, New York,US
348,amazon.com,108.139.54.203,New York City, New York,US
349,amazon.com,199.232.37.16,New York City, New York,US
350,amazon.com,3.217.255.244,Ashburn, Virginia,US
351,amazon.com,52.204.13.24,Ashburn, Virginia,US
352,amazon.com,108.139.54.203,New York City, New York,US
353,amazon.com,23.44.133.144,Piscataway, New Jersey,US
354,amazon.com,18.164.95.4,New York City, New York,US
355,amazon.com,108.138.120.237,New York City, New York,US
356,amazon.com,108.139.54.203,New York City, New York,US
357,amazon.com,18.164.132.134,New York City, New York,US
358,amazon.com,23.44.133.153,Piscataway, New Jersey,US
359,amazon.com,199.232.37.16,New York City, New York,US
360,amazon.com,199.232.37.16,New York City, New York,US
361,amazon.com,108.138.120.237,New York City, New York,US
362,amazon.com,23.44.133.144,Piscataway, New Jersey,US
363,amazon.com,108.138.110.85,New York City, New York,US
364,amazon.com,199.232.37.16,New York City, New York,US
365,amazon.com,18.238.45.222,South Ozone Park, New York,US
366,amazon.com,23.44.133.144,Piscataway, New Jersey,US
367,amazon.com,23.44.133.144,Piscataway, New Jersey,US
368,amazon.com,199.232.37.16,New York City, New York,US
369,amazon.com,23.44.133.144,Piscataway, New Jersey,US
370,amazon.com,23.44.133.144,Piscataway, New Jersey,US
371,amazon.com,23.44.133.153,Piscataway, New Jersey,US
372,amazon.com,34.203.44.167,Ashburn, Virginia,US
373,amazon.com,108.139.54.203,New York City, New York,US
374,amazon.com,18.164.132.134,New York City, New York,US
375,amazon.com,199.232.37.16,New York City, New York,US
376,amazon.com,23.44.133.153,Piscataway, New Jersey,US
377,amazon.com,108.138.110.85,New York City, New York,US
378,amazon.com,23.44.133.153,Piscataway, New Jersey,US
379,amazon.com,23.44.133.144,Piscataway, New Jersey,US
380,amazon.com,52.46.132.119,Ashburn, Virginia,US
381,amazon.com,108.139.35.180,New York City, New York,US
382,amazon.com,108.138.110.85,New York City, New York,US
383,amazon.com,108.139.54.203,New York City, New York,US
384,amazon.com,199.232.37.16,New York City, New York,US
385,amazon.com,199.232.37.16,New York City, New York,US
386,amazon.com,108.138.120.237,New York City, New York,US
387,amazon.com,23.44.133.144,Piscataway, New Jersey,US
388,amazon.com,18.238.45.222,South Ozone Park, New York,US
389,amazon.com,23.44.133.153,Piscataway, New Jersey,US
390,amazon.com,108.138.120.237,New York City, New York,US
391,amazon.com,108.138.110.85,New York City, New York,US
392,amazon.com,108.139.54.203,New York City, New York,US
393,amazon.com,18.164.95.4,New York City, New York,US
394,amazon.com,23.44.133.144,Piscataway, New Jersey,US
395,amazon.com,23.44.133.144,Piscataway, New Jersey,US
396,amazon.com,23.44.133.153,Piscataway, New Jersey,US
397,amazon.com,18.238.45.222,South Ozone Park, New York,US
398,amazon.com,18.238.45.222,South Ozone Park, New York,US
399,amazon.com,108.138.110.85,New York City, New York,US
400,amazon.com,108.139.35.180,New York City, New York,US
401,amazon.com,67.220.240.31,Ashburn, Virginia,US
402,amazon.com,18.238.45.222,South Ozone Park, New York,US
403,amazon.com,108.138.110.85,New York City, New York,US
404,amazon.com,23.44.133.153,Piscataway, New Jersey,US
405,amazon.com,108.138.110.85,New York City, New York,US
406,amazon.com,23.44.133.153,Piscataway, New Jersey,US
407,amazon.com,18.238.45.222,South Ozone Park, New York,US
408,amazon.com,18.238.45.222,South Ozone Park, New York,US
409,amazon.com,34.231.138.66,Ashburn, Virginia,US
410,amazon.com,108.139.35.180,New York City, New York,US
411,amazon.com,199.232.37.16,New York City, New York,US
412,amazon.com,108.138.110.85,New York City, New York,US
413,amazon.com,18.164.95.4,New York City, New York,US
414,amazon.com,34.193.111.32,Ashburn, Virginia,US
415,amazon.com,23.44.133.153,Piscataway, New Jersey,US
416,amazon.com,23.44.133.144,Piscataway, New Jersey,US
417,amazon.com,18.164.95.4,New York City, New York,US
418,amazon.com,108.138.110.85,New York City, New York,US
419,amazon.com,23.44.133.144,Piscataway, New Jersey,US
420,amazon.com,23.44.133.153,Piscataway, New Jersey,US
421,amazon.com,54.239.17.248,Ashburn, Virginia,US
422,amazon.com,108.138.110.85,New York City, New York,US
423,amazon.com,205.251.242.103,Ashburn, Virginia,US
424,amazon.com,34.197.126.203,Ashburn, Virginia,US
425,amazon.com,23.44.133.153,Piscataway, New Jersey,US
426,amazon.com,23.44.133.153,Piscataway, New Jersey,US
427,amazon.com,18.238.45.222,South Ozone Park, New York,US
428,amazon.com,205.251.242.103,Ashburn, Virginia,US
429,amazon.com,18.164.132.134,New York City, New York,US
430,amazon.com,108.139.54.203,New York City, New York,US
431,amazon.com,23.44.133.153,Piscataway, New Jersey,US
432,amazon.com,23.44.133.153,Piscataway, New Jersey,US
433,amazon.com,18.238.76.234,South Ozone Park, New York,US
434,amazon.com,18.238.45.222,South Ozone Park, New York,US
435,amazon.com,23.44.133.144,Piscataway, New Jersey,US
436,amazon.com,18.238.45.222,South Ozone Park, New York,US
437,amazon.com,108.138.110.85,New York City, New York,US
438,amazon.com,18.238.76.234,South Ozone Park, New York,US
439,amazon.com,108.139.54.203,New York City, New York,US
440,amazon.com,23.44.133.144,Piscataway, New Jersey,US
441,amazon.com,108.139.54.203,New York City, New York,US
442,amazon.com,23.44.133.144,Piscataway, New Jersey,US
443,amazon.com,108.138.120.237,New York City, New York,US
444,amazon.com,108.138.110.85,New York City, New York,US
445,amazon.com,23.44.133.153,Piscataway, New Jersey,US
446,amazon.com,23.44.133.153,Piscataway, New Jersey,US
447,amazon.com,23.44.133.144,Piscataway, New Jersey,US
448,amazon.com,52.204.13.24,Ashburn, Virginia,US
449,amazon.com,107.21.31.137,Ashburn, Virginia,US
450,amazon.com,108.139.54.203,New York City, New York,US
451,amazon.com,18.238.45.222,South Ozone Park, New York,US
452,amazon.com,108.139.54.203,New York City, New York,US
453,amazon.com,23.44.133.144,Piscataway, New Jersey,US
454,amazon.com,18.164.95.4,New York City, New York,US
455,amazon.com,34.230.112.129,Ashburn, Virginia,US
456,amazon.com,176.32.98.109,Ashburn, Virginia,US
457,amazon.com,108.139.35.180,New York City, New York,US
458,amazon.com,23.44.133.144,Piscataway, New Jersey,US
459,amazon.com,108.139.54.203,New York City, New York,US
460,amazon.com,108.138.110.85,New York City, New York,US
461,amazon.com,23.44.133.144,Piscataway, New Jersey,US
462,amazon.com,108.138.110.85,New York City, New York,US
463,amazon.com,18.238.76.234,South Ozone Park, New York,US
464,amazon.com,108.138.120.237,New York City, New York,US
465,amazon.com,23.44.133.144,Piscataway, New Jersey,US
466,amazon.com,18.238.76.234,South Ozone Park, New York,US
467,amazon.com,23.44.133.144,Piscataway, New Jersey,US
468,amazon.com,18.238.45.222,South Ozone Park, New York,US
469,amazon.com,108.139.54.203,New York City, New York,US
470,amazon.com,23.44.133.144,Piscataway, New Jersey,US
471,amazon.com,108.138.110.85,New York City, New York,US
472,amazon.com,23.44.133.144,Piscataway, New Jersey,US
473,amazon.com,108.139.54.203,New York City, New York,US
474,amazon.com,23.44.133.153,Piscataway, New Jersey,US
475,amazon.com,108.138.120.237,New York City, New York,US
476,amazon.com,108.138.110.85,New York City, New York,US
477,amazon.com,108.138.110.85,New York City, New York,US
478,amazon.com,205.251.242.103,Ashburn, Virginia,US
479,amazon.com,18.238.45.222,South Ozone Park, New York,US
480,amazon.com,18.238.45.222,South Ozone Park, New York,US
481,amazon.com,108.139.35.180,New York City, New York,US
482,amazon.com,18.238.76.234,South Ozone Park, New York,US
483,amazon.com,108.139.35.180,New York City, New York,US
484,amazon.com,199.232.37.16,New York City, New York,US
485,amazon.com,108.138.110.85,New York City, New York,US
486,amazon.com,23.44.133.153,Piscataway, New Jersey,US
487,amazon.com,108.138.110.85,New York City, New York,US
488,amazon.com,108.139.54.203,New York City, New York,US
489,amazon.com,108.139.54.203,New York City, New York,US
490,amazon.com,52.7.19.246,Ashburn, Virginia,US
491,amazon.com,108.139.35.180,New York City, New York,US
492,amazon.com,23.44.133.144,Piscataway, New Jersey,US
493,amazon.com,23.44.133.144,Piscataway, New Jersey,US
494,amazon.com,108.138.110.85,New York City, New York,US
495,amazon.com,18.238.45.222,South Ozone Park, New York,US
496,amazon.com,108.138.110.85,New York City, New York,US
497,amazon.com,44.193.63.151,Ashburn, Virginia,US
